confidence_factor_id,factor_code,factor_name,applicable_process,evaluation_type,high_rule,medium_rule,low_rule,not_available_rule,factor_weight,blocking_flag,explanation_required_flag,configuration_version,effective_start_date,effective_end_date,approval_status,validation_status,created_datetime,updated_datetime
dcc_001,SRC_AVAIL,Source Availability,All KPI calculations,Binary,All required source datasets available,One or more sources partially available,One or more critical sources missing,Critical source unavailable,,true,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
dcc_002,SCHEMA_VALID,Schema Validity,All KPI calculations,Binary,All required fields present and valid,Minor schema deviation detected,Major schema violation,Critical schema failure,,true,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
dcc_003,FIELD_COMP,Required Field Completeness,All KPI calculations,Percentage,All required fields complete,Partial completeness within tolerance,Completeness below approved tolerance,No required fields available,,false,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
dcc_004,DENOM_AVAIL,Denominator Availability,All KPI calculations,Binary,Denominator valid and greater than zero,Denominator present but low volume,Denominator zero or invalid,Denominator unavailable,,true,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
dcc_005,REC_VOL,Eligible Record Volume,All KPI calculations,Count,Volume meets or exceeds approved minimum,Volume below minimum but usable,Volume critically low,No eligible records,,false,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
dcc_006,DUP_RES,Duplicate Resolution,All KPI calculations,Binary,No unresolved duplicates,Minor duplicates resolved,Unresolvable duplicates detected,Duplicate status unknown,,true,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
dcc_007,REF_INT,Referential Integrity,All KPI calculations,Binary,All foreign keys valid,Minor misalignment,Widespread misalignment,Critical referential failure,,true,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
dcc_008,HIST_SUFF,Historical Sufficiency,Trend and anomaly calculations,Count,Sufficient history for rolling trend,History below preferred minimum,History insufficient for reliable trend,No historical data,,false,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
dcc_009,LATE_DATA,Late-Arriving Data,All KPI calculations,Binary,No late data detected,Minor late arrivals detected,Significant late arrivals,Critical late arrivals,,false,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
dcc_010,SURV_VOL,Survey Response Volume,Patient Satisfaction calculation,Count,Response volume meets approved minimum,Response volume below minimum,Response volume critically low,No valid responses,,false,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
dcc_011,FORECAST_CONF,Forecast Confidence,Forecast calculations,Level,High model confidence,Medium model confidence,Low model confidence,Forecast unavailable,,false,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
dcc_012,SCENARIO_CONF,Scenario Assumption Confidence,Scenario calculations,Level,All assumptions validated,Some assumptions pending validation,Key assumptions unvalidated,Scenario assumptions unavailable,,false,true,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
