page_id,page_name,page_purpose,primary_user,implementation_priority,allowed_actions,prohibited_actions,governance_warning,empty_state_message,data_refresh_rule,export_eligibility
PAGE-01,Data Upload and Validation,Upload and validate new data files before processing,Data Steward,Priority 1,upload;validate;preview,execute_analysis;approve_decision,Only validated data may proceed to analytical processing,No data uploaded. Upload a CSV file to begin.,Manual upload trigger,False
PAGE-02,Executive Overview,High-level hospital and department risk and readiness summary,Executive,Priority 1,filter;drill_down;export_summary,select_action;approve_recommendation,This view supports management review and does not constitute action selection or final decision,No packages available for review. Adjust filters or upload new data.,Frozen snapshot until refresh,True
PAGE-03,KPI Dashboard,Six core KPI cards with thresholds and trends,Operational Manager,Priority 1,filter;drill_down;compare_period,select_action;approve_budget,KPI values are synthetic and for demonstration purposes only,No KPI data available for selected filters.,Frozen snapshot until refresh,True
PAGE-04,Risk and Alerts,Risk register with tiers urgency and contributing factors,Risk Manager,Priority 1,filter;drill_down;escalate_view,approve_escalation;resolve_alert,Risk tiers are analytical classifications not operational commands,No risk alerts match the current filters.,Frozen snapshot until refresh,True
PAGE-05,Recommendation Summary,Structured recommendations with options and validation status,Department Head,Priority 2,filter;drill_down;view_evidence,approve_recommendation;select_option,Recommendations are provisional and require stakeholder validation before action,No recommendations available for the selected package.,Frozen snapshot until refresh,True
PAGE-06,Scenario Lab,Scenario comparison with baseline conservative expected and higher intensity,Analyst,Priority 2,compare;reset;filter;view_assumptions,select_preferred_scenario;recalculate_values,User-adjusted assumptions are simulation inputs separate from authoritative frozen results,No scenarios available for the selected package.,Frozen snapshot until refresh,True
PAGE-07,Financial Impact,Cost benefit and ROI analysis with uncertainty ranges,CFO,Priority 2,filter;drill_down;view_components,approve_budget;commit_spend,Financial estimates include uncertainty and should not be treated as guaranteed savings,No financial data available for the selected package.,Frozen snapshot until refresh,True
PAGE-08,Integrated Decision,Consolidated executive headline evidence and readiness,Executive,Priority 1,filter;drill_down;view_summary,select_action;approve_decision;select_scenario,This view supports management review and does not constitute action selection scenario selection recommendation approval budget approval or a final management decision,No integrated decision available for the selected package.,Frozen snapshot until refresh,True
PAGE-09,Management Review and Actions,Controls for review comments conditions and routing,Management Reviewer,Priority 2,comment;condition;defer;request_evidence;route,approve_action;execute_audit;finalize_decision,All actions remain pending until formally approved through governed channels,No packages awaiting management review match the current filters.,Frozen snapshot until refresh,True
PAGE-10,Reports and Export,Export-ready report generation and download,Analyst,Priority 3,select_report;configure;download_preview,auto_generate;schedule_send,Exported reports reflect the frozen analytical snapshot at the time of generation,No reports configured. Select a report template to begin.,Frozen snapshot until refresh,True
PAGE-11,Audit and Traceability,Evidence lineage and audit event tracking,Auditor,Priority 3,view_trace;view_evidence;view_lineage,execute_audit;approve_audit,Audit events remain Not Executed until formally triggered through governed channels,No audit records available for the selected package.,Frozen snapshot until refresh,True
PAGE-12,Configuration and Governance,Settings filters governance rules and user roles,System Administrator,Priority 4,configure;manage_roles;manage_filters,modify_analytical_logic;recalculate_values,Configuration changes do not alter frozen analytical outputs,No configuration data available.,Manual update only,False
